Unnamed: 0,precision,recall,f1-score,support
A,1.0,1.0,1.0,600.0
B,1.0,1.0,1.0,600.0
C,1.0,1.0,1.0,600.0
D,1.0,1.0,1.0,600.0
E,1.0,1.0,1.0,600.0
F,1.0,1.0,1.0,600.0
G,1.0,1.0,1.0,600.0
H,1.0,1.0,1.0,600.0
I,1.0,1.0,1.0,600.0
J,1.0,1.0,1.0,600.0
K,1.0,1.0,1.0,600.0
L,1.0,1.0,1.0,600.0
M,1.0,1.0,1.0,600.0
N,1.0,1.0,1.0,600.0
O,1.0,1.0,1.0,600.0
P,1.0,1.0,1.0,600.0
Q,1.0,1.0,1.0,600.0
R,1.0,1.0,1.0,600.0
S,1.0,1.0,1.0,600.0
T,1.0,1.0,1.0,600.0
U,1.0,1.0,1.0,600.0
V,1.0,1.0,1.0,600.0
W,1.0,1.0,1.0,600.0
X,1.0,1.0,1.0,600.0
Y,1.0,1.0,1.0,600.0
Z,1.0,1.0,1.0,600.0
delete,1.0,1.0,1.0,600.0
nothing,1.0,1.0,1.0,600.0
space,1.0,1.0,1.0,600.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,17400.0
weighted avg,1.0,1.0,1.0,17400.0
